,id,name,createddate,lastmodifieddate,ccs_country_code__c,ccs_date_of_birth__c,ccs_email__c,ccs_facility_id__c,ccs_first_name__c,ccs_is_card_needed__c,ccs_last_name__c,ccs_level_of_control__c,ccs_limit__c,ccs_mobile_number__c,ccs_number_of_cards__c,ccs_title__c,createdbyid,currencyisocode,lastmodifiedbyid,_merge
0,a5V26000000EHRlEAO,CD-00006,2023-06-19T10:20:15.000+0000,2023-06-19T14:17:45.000+0000,None,1999-12-25,abc@gmail.com,a0i26000005nrlNAAQ,Robert,Yes,Williams,Standard,501.000000000,123456788,None,Miss,0052600000A71TrAAJ,GBP,00526000009uyrWAAQ,bigquery_only
1,a5V26000000EHRbEAO,CD-00004,2023-06-19T10:16:00.000+0000,2023-06-19T10:16:00.000+0000,None,1999-12-25,None,a0i26000005nrlNAAQ,SARAH,Yes,JONES,Standard,50000.000000000,3343434,None,Ms,0052600000A71TrAAJ,GBP,0052600000A71TrAAJ,bigquery_only
2,a5V26000000EHRREA4,CD-00002,2023-06-19T10:13:54.000+0000,2023-06-19T10:13:54.000+0000,44.000000000,1999-12-25,abc@gmail.com,a0i26000005nrlNAAQ,Miller,Yes,Jones,Standard,50000.000000000,12346467,None,Mr,0052600000A71TrAAJ,GBP,0052600000A71TrAAJ,bigquery_only
3,a5V26000000EHRWEA4,CD-00003,2023-06-19T10:15:15.000+0000,2023-06-19T10:15:15.000+0000,None,1999-12-25,None,a0i26000005nrlNAAQ,JONES,Yes,SCOTT,Standard,100000.000000000,2342342,None,Mr,0052600000A71TrAAJ,GBP,0052600000A71TrAAJ,bigquery_only
4,a5V26000000EHS5EAO,CD-00010,2023-06-19T10:22:59.000+0000,2023-06-19T10:22:59.000+0000,91.000000000,1999-12-25,None,a0i26000005nrlNAAQ,Shylesh,Yes,Yalla,Standard,100000.000000000,3434343,None,Mr,0052600000A71TrAAJ,GBP,0052600000A71TrAAJ,bigquery_only
5,a5V26000000EHS0EAO,CD-00009,2023-06-19T10:22:19.000+0000,2023-06-19T10:22:19.000+0000,91.000000000,1999-12-25,abc@gmail.com,a0i26000005nrlNAAQ,Vijay,Yes,Kumar,Standard,100000.000000000,11215544,None,Mr,0052600000A71TrAAJ,GBP,0052600000A71TrAAJ,bigquery_only
6,a5V26000000EHRMEA4,CD-00001,2023-06-19T10:13:01.000+0000,2023-06-19T10:13:01.000+0000,44.000000000,1999-12-25,etl@gmail.com,a0i26000005nrlNAAQ,RatnaKumar,Yes,Dangeti,Business Representative,100000.000000000,12346788,None,Mr,0052600000A71TrAAJ,GBP,0052600000A71TrAAJ,bigquery_only
7,a5V26000000EHRqEAO,CD-00007,2023-06-19T10:20:51.000+0000,2023-06-21T10:18:34.000+0000,44.000000000,1999-12-25,adf@gmail.com,a0i26000005nrlNAAQ,Kumar,Yes,Joginder,Standard,5000.000000000,434343,None,Mr,0052600000A71TrAAJ,GBP,0052600000A71TrAAJ,bigquery_only
8,a5V26000000EHRgEAO,CD-00005,2023-06-19T10:16:53.000+0000,2023-06-19T10:16:53.000+0000,44.000000000,1999-12-25,abc@gmail.com,a0i26000005nrlNAAQ,KING,Yes,JAMES,Standard,40000.000000000,343434343,None,Dr,0052600000A71TrAAJ,GBP,0052600000A71TrAAJ,bigquery_only
9,a5V26000000EHRvEAO,CD-00008,2023-06-19T10:21:41.000+0000,2023-06-19T10:21:41.000+0000,44.000000000,1999-12-25,abc@gmail.com,a0i26000005nrlNAAQ,David,Yes,Miller,Standard,10000.000000000,45435435,None,Mr,0052600000A71TrAAJ,GBP,0052600000A71TrAAJ,bigquery_only
10,a5V26000000EHSAEA4,CD-00011,2023-06-19T10:23:43.000+0000,2023-06-19T10:25:50.000+0000,44.000000000,1999-12-25,abc@ymail.com,a0i26000005nrlNAAQ,Update1,No,Modify1,Standard,200000.000000000,12455,None,Mr,0052600000A71TrAAJ,GBP,0052600000A71TrAAJ,bigquery_only
11,a5V26000000EHRlEAO,CD-00006,2023-06-19T10:20:15.000+0000,2023-06-19T14:17:45.000+0000,nan,1999-12-25,abc@gmail.com,a0i26000005nrlNAAQ,Robert,Yes,Williams,Standard,501.0,123456788,None,Miss,0052600000A71TrAAJ,GBP,00526000009uyrWAAQ,salesforce_only
12,a5V26000000EHRqEAO,CD-00007,2023-06-19T10:20:51.000+0000,2023-06-21T10:18:34.000+0000,44.0,1999-12-25,adf@gmail.com,a0i26000005nrlNAAQ,Kumar,Yes,Joginder,Standard,5000.045,434343,None,Mr,0052600000A71TrAAJ,GBP,0052600000A71TrAAJ,salesforce_only
13,a5V26000000EHSAEA4,CD-00011,2023-06-19T10:23:43.000+0000,2023-06-19T10:25:50.000+0000,44.0,1999-12-25,abc@ymail.com,a0i26000005nrlNAAQ,Update1,No,Modify1,Standard,200000.0,12455,None,Mr,0052600000A71TrAAJ,GBP,0052600000A71TrAAJ,salesforce_only
14,a5V26000000EHRREA4,CD-00002,2023-06-19T10:13:54.000+0000,2023-06-19T10:13:54.000+0000,44.0,1999-12-25,abc@gmail.com,a0i26000005nrlNAAQ,Miller,Yes,Jones,Standard,50000.0,12346467,None,Mr,0052600000A71TrAAJ,GBP,0052600000A71TrAAJ,salesforce_only
15,a5V26000000EHS0EAO,CD-00009,2023-06-19T10:22:19.000+0000,2023-06-19T10:22:19.000+0000,91.0,1999-12-25,abc@gmail.com,a0i26000005nrlNAAQ,Vijay,Yes,Kumar,Standard,100000.0,11215544,None,Mr,0052600000A71TrAAJ,GBP,0052600000A71TrAAJ,salesforce_only
